10  2  5  4  3  7   132.777939  7.6189E-06      
10  4  7  4  3  7   132.788086  2.2965E-05     *
10  4  9  4  3  7   132.794159  8.0376E-04    **
10  5 11  4  3  7   132.798203  4.5563E-06      
10  2  3  4  3  5   132.915924  5.3332E-06      
10  1  3  4  2  5   132.915924  1.7406E-05     *
10  3  5  4  2  5   132.936279  4.5714E-05     *
10  4  7  4  3  5   132.946426  6.2005E-04    **
10  3  7  4  2  5   132.946426  9.1428E-04    **
10  4  9  4  2  5   132.952499  1.0101E-06      
10  5  9  4  3  5   132.952499  3.5800E-06      
10  0  1  4  1  3   133.172165  5.6478E-05     *
10  1  1  4  2  3   133.172165  9.6701E-06      
10  1  3  4  2  3   133.234344  1.9340E-06      
10  2  3  4  1  3   133.234344  5.3349E-05     *
10  2  5  4  1  3   133.254684  4.8014E-04    **
10  3  5  4  2  3   133.254684  6.4000E-04    **
10  0  1  4  1  1   134.147736  2.8239E-05     *
10  1  1  4  0  1   134.147736  5.9491E-05     *
10  2  3  4  1  1   134.209900  2.6675E-04    **
10  1  3  4  0  1   134.209900  1.1898E-04    **
10  1  3  3  2  5   255.875885  1.5694E-05     *
10  3  5  3  2  5   255.896271  7.4343E-05     *
10  3  7  3  2  5   255.906403  1.4869E-03   ***
10  4  9  3  2  5   255.912476  1.0020E-05     *
10  1  1  3  2  3   256.567719  8.7191E-06      
10  0  1  3  1  3   256.567719  8.3683E-05     *
10  1  3  3  2  3   256.629852  1.7438E-06      
10  2  3  3  1  3   256.629852  1.1437E-04    **
10  3  5  3  2  3   256.650238  1.0408E-03   ***
10  2  5  3  1  3   256.650238  1.0294E-03   ***
10  4  7  3  2  3   256.660370  7.2146E-06      
10  1  1  3  0  1   258.882507  1.2734E-04    **
10  0  1  3  1  1   258.882507  4.1841E-05     *
10  1  3  3  0  1   258.944702  2.5468E-04    **
10  2  3  3  1  1   258.944702  5.7187E-04    **
