10  5 11  7  6 13    26.307564  1.2461E-06      
10  7 13  7  6 13    26.310453  3.3555E-06      
10  5  9  7  6 11    26.311939  1.0519E-06      
10  4  9  7  5 11    26.311939  4.8105E-06      
10  7 15  7  6 13    26.312618  3.4898E-04    **
10  8 17  7  6 13    26.314301  1.0164E-06      
10  6 11  7  5 11    26.315983  6.4412E-06      
10  3  7  7  4  9    26.317656  1.0556E-05     *
10  4  7  7  5  9    26.317656  3.9197E-06      
10  7 13  7  6 11    26.318872  3.0200E-04    **
10  6 13  7  5 11    26.318872  4.9597E-04    **
10  5  9  7  4  9    26.323730  8.7947E-06      
10  3  5  7  4  7    26.325220  8.1435E-06      
10  2  5  7  3  7    26.325220  1.4861E-05     *
10  5 11  7  4  9    26.327774  4.7491E-04    **
10  6 11  7  5  9    26.327774  4.1868E-04    **
10  0  1  7  1  3    26.331659  2.4370E-05     *
10  1  1  7  2  3    26.331659  7.1993E-06      
10  2  3  7  3  5    26.334423  1.0403E-05     *
10  1  3  7  2  5    26.334423  1.2959E-05     *
10  4  7  7  3  7    26.335358  1.0548E-05     *
10  5  9  7  4  7    26.341433  3.8697E-04    **
10  4  9  7  3  7    26.341433  3.6919E-04    **
10  3  5  7  2  5    26.354788  1.1735E-05     *
10  3  7  7  2  5    26.364925  2.3469E-04    **
10  4  7  7  3  5    26.364925  2.8480E-04    **
10  2  3  7  1  3    26.393824  1.2011E-05     *
10  1  3  7  2  3    26.393824  1.4399E-06      
10  3  5  7  2  3    26.414188  1.6428E-04    **
10  2  5  7  1  3    26.414188  1.0810E-04    **
10  1  1  7  0  1    26.513182  1.4490E-05     *
10  0  1  7  1  1    26.513182  1.2185E-05     *
10  1  3  7  0  1    26.575346  2.8979E-05     *
10  2  3  7  1  1    26.575346  6.0055E-05     *
10  4  9  6  5 11    44.940582  1.9138E-06      
10  6 11  6  5 11    44.944626  4.6737E-06      
10  6 13  6  5 11    44.947514  3.5988E-04    **
10  7 15  6  5 11    44.949680  1.4185E-06      
10  4  7  6  5  9    44.953224  1.5594E-06      
10  3  7  6  4  9    44.953224  7.3435E-06      
10  5  9  6  4  9    44.959301  1.0171E-05     *
10  6 11  6  5  9    44.963341  3.0379E-04    **
10  5 11  6  4  9    44.963341  5.4921E-04    **
10  7 13  6  5  9    44.966228  1.2089E-06      
10  2  5  6  3  7    44.971199  1.3753E-05     *
10  3  5  6  4  7    44.971199  5.6650E-06      
10  4  7  6  3  7    44.981335  1.4649E-05     *
10  4  9  6  3  7    44.987411  5.1271E-04    **
10  5  9  6  4  7    44.987411  4.4751E-04    **
10  1  3  6  2  5    44.997776  1.4373E-05     *
10  2  3  6  3  5    44.997776  9.6268E-06      
10  3  5  6  2  5    45.018143  1.7470E-05     *
10  3  7  6  2  5    45.028282  3.4940E-04    **
10  4  7  6  3  5    45.028282  3.9552E-04    **
10  0  1  6  1  3    45.029961  3.0632E-05     *
10  1  1  6  2  3    45.029961  7.9849E-06      
10  2  3  6  1  3    45.092125  1.8028E-05     *
10  1  3  6  2  3    45.092125  1.5970E-06      
10  2  5  6  1  3    45.112492  1.6225E-04    **
10  3  5  6  2  3    45.112492  2.4458E-04    **
10  1  1  6  0  1    45.318432  2.1115E-05     *
10  0  1  6  1  1    45.318432  1.5316E-05     *
10  1  3  6  0  1    45.380596  4.2229E-05     *
10  2  3  6  1  1    45.380596  9.0140E-05     *
10  3  7  5  4  9    75.850624  3.6748E-06      
10  5  9  5  4  9    75.856689  9.0447E-06      
10  5 11  5  4  9    75.860741  4.8841E-04    **
10  6 13  5  4  9    75.863625  2.3550E-06      
10  3  5  5  4  7    75.889038  2.8348E-06      
10  2  5  5  3  7    75.889038  1.1758E-05     *
10  4  7  5  3  7    75.899170  1.9943E-05     *
10  5  9  5  4  7    75.905251  3.9797E-04    **
10  4  9  5  3  7    75.905251  6.9801E-04    **
10  6 11  5  4  7    75.909286  1.9438E-06      
10  2  3  5  3  5    75.949791  8.2305E-06      
10  1  3  5  2  5    75.949791  1.6068E-05     *
10  3  5  5  2  5    75.970154  2.7490E-05     *
10  4  7  5  3  5    75.980293  5.3846E-04    **
10  3  7  5  2  5    75.980293  5.4979E-04    **
10  0  1  5  1  3    76.050659  4.0446E-05     *
10  1  1  5  2  3    76.050659  8.9268E-06      
10  1  3  5  2  3    76.112823  1.7854E-06      
10  2  3  5  1  3    76.112823  2.9324E-05     *
10  2  5  5  1  3    76.133194  2.6391E-04    **
10  3  5  5  2  3    76.133194  3.8485E-04    **
10  0  1  5  1  1    76.549606  2.0223E-05     *
10  1  1  5  0  1    76.549606  3.3419E-05     *
10  2  3  5  1  1    76.611771  1.4662E-04    **
10  1  3  5  0  1    76.611771  6.6839E-05     *
