12  2  5  4  3  7   140.513031  1.9711E-06      
12  4  7  4  3  7   140.518906  4.7287E-06      
12  4  9  4  3  7   140.522415  1.6551E-04    **
12  5 11  4  3  7   140.524765  1.0031E-06      
12  1  3  4  2  5   140.659607  6.1196E-06      
12  2  3  4  3  5   140.659607  1.3798E-06      
12  3  5  4  2  5   140.671371  1.0505E-05     *
12  3  7  4  2  5   140.677246  2.1010E-04    **
12  4  7  4  3  5   140.677246  1.2768E-04    **
12  1  1  4  2  3   140.942047  3.3998E-06      
12  0  1  4  1  3   140.942047  1.3550E-05     *
12  2  3  4  1  3   140.978012  1.4622E-05     *
12  3  5  4  2  3   140.989777  1.4707E-04    **
12  2  5  4  1  3   140.989777  1.3159E-04    **
12  0  1  4  1  1   141.917618  6.7749E-06      
12  1  1  4  0  1   141.917618  2.1674E-05     *
12  1  3  4  0  1   141.953568  4.3348E-05     *
12  2  3  4  1  1   141.953568  7.3108E-05     *
12  1  3  3  2  5   263.619568  5.5902E-06      
12  3  5  3  2  5   263.631348  1.7055E-05     *
12  3  7  3  2  5   263.637207  3.4109E-04    **
12  4  9  3  2  5   263.640717  2.3057E-06      
12  0  1  3  1  3   264.337585  2.0227E-05     *
12  1  1  3  2  3   264.337585  3.1057E-06      
12  2  3  3  1  3   264.373535  3.1325E-05     *
12  2  5  3  1  3   264.385315  2.8192E-04    **
12  3  5  3  2  3   264.385315  2.3877E-04    **
12  4  7  3  2  3   264.391174  1.6601E-06      
12  0  1  3  1  1   266.652435  1.0114E-05     *
12  1  1  3  0  1   266.652435  4.6434E-05     *
12  2  3  3  1  1   266.688385  1.5662E-04    **
12  1  3  3  0  1   266.688385  9.2868E-05     *
