13  0  1 12  1  3     2.574452  1.3243E-06      
13  1  3 12  2  5     2.590939  1.5453E-06      
13  2  3 12  3  5     2.590939  1.2871E-06      
13  2  5 12  3  7     2.594336  1.8387E-06      
13  3  5 12  4  7     2.594336  1.3734E-06      
13  3  7 12  4  9     2.595436  1.7803E-06      
13  4  7 12  5  9     2.595436  1.2403E-06      
13  4  9 12  5 11     2.595859  1.5222E-06      
13  5  9 12  6 11     2.595859  1.0121E-06      
13  5 11 12  6 13     2.596029  1.1990E-06      
13 12 25 12 11 23     2.596807  9.1948E-05     *
13 11 23 12 10 21     2.596984  6.7138E-05     *
13 12 23 12 11 21     2.596984  8.4568E-05     *
13 10 21 12  9 19     2.597203  5.0277E-05     *
13 11 21 12 10 19     2.597203  6.1277E-05     *
13  9 19 12  8 17     2.597480  3.8400E-05     *
13 10 19 12  9 17     2.597480  4.5466E-05     *
13  8 17 12  7 15     2.597842  2.9712E-05     *
13  9 17 12  8 15     2.597842  3.4334E-05     *
13  7 15 12  6 13     2.598329  2.3109E-05     *
13  8 15 12  7 13     2.598329  2.6191E-05     *
13  6 13 12  5 11     2.599014  1.7896E-05     *
13  7 13 12  6 11     2.599014  1.9998E-05     *
13  5 11 12  4  9     2.600041  1.3624E-05     *
13  6 11 12  5  9     2.600041  1.5107E-05     *
13  4  9 12  3  7     2.601715  1.0002E-05     *
13  5  9 12  4  7     2.601715  1.1101E-05     *
13  3  7 12  2  5     2.604818  6.8534E-06      
13  4  7 12  3  5     2.604818  7.7162E-06      
13  2  5 12  1  3     2.611984  4.1148E-06      
13  3  5 12  2  3     2.611984  4.7974E-06      
13  1  3 12  0  1     2.638669  1.7606E-06      
13  2  3 12  1  1     2.638669  2.2860E-06      
13  0  1 11  1  3     5.919400  1.4910E-06      
13  1  3 11  2  5     5.932371  1.6377E-06      
13  2  3 11  3  5     5.932371  1.2551E-06      
13 11 23 11 10 21     5.933333  2.6597E-05     *
13 11 21 11 10 19     5.933744  2.4275E-05     *
13 10 21 11  9 19     5.933744  3.4983E-05     *
13  4  9 11  5 11     5.933795  1.2123E-06      
13  3  5 11  4  7     5.934018  1.2211E-06      
13  2  5 11  3  7     5.934018  1.7930E-06      
13  3  7 11  4  9     5.934071  1.5829E-06      
13 10 19 11  9 17     5.934254  3.1636E-05     *
13  9 19 11  8 17     5.934254  3.5234E-05     *
13  9 17 11  8 15     5.934906  3.1503E-05     *
13  8 17 11  7 15     5.934906  3.1986E-05     *
13  7 15 11  6 13     5.935766  2.7388E-05     *
13  8 15 11  7 13     5.935766  2.8195E-05     *
13  6 13 11  5 11     5.936951  2.2430E-05     *
13  7 13 11  6 11     5.936951  2.3701E-05     *
13  5 11 11  4  9     5.938676  1.7563E-05     *
13  6 11 11  5  9     5.938676  1.8934E-05     *
13  5  9 11  4  7     5.941397  1.4311E-05     *
13  4  9 11  3  7     5.941397  1.2990E-05     *
13  3  7 11  2  5     5.946250  8.8153E-06      
13  4  7 11  3  5     5.946250  1.0021E-05     *
13  2  5 11  1  3     5.956932  5.1471E-06      
13  3  5 11  2  3     5.956932  6.1707E-06      
13  1  1 11  0  1     5.966087  1.0700E-06      
13  2  3 11  1  1     5.994354  2.8595E-06      
13  1  3 11  0  1     5.994354  2.1401E-06      
