13  7 15  7  6 13    36.634117  1.6233E-05     *
13  7 13  7  6 11    36.641552  1.4048E-05     *
13  6 13  7  5 11    36.641552  3.4552E-05     *
13  6 11  7  5  9    36.652027  2.9167E-05     *
13  5 11  7  4  9    36.652027  4.2656E-05     *
13  2  5  7  3  7    36.660511  1.8120E-06      
13  4  7  7  3  7    36.665127  1.1171E-06      
13  5  9  7  4  7    36.667892  3.4756E-05     *
13  4  9  7  3  7    36.667892  3.9099E-05     *
13  2  3  7  3  5    36.680813  1.2684E-06      
13  1  3  7  2  5    36.680813  2.4143E-06      
13  3  5  7  2  5    36.690079  1.4225E-06      
13  4  7  7  3  5    36.694691  3.0162E-05     *
13  3  7  7  2  5    36.694691  2.8449E-05     *
13  0  1  7  1  3    36.711945  2.9247E-06      
13  1  1  7  2  3    36.711945  1.3413E-06      
13  2  3  7  1  3    36.740215  1.7906E-06      
13  2  5  7  1  3    36.749477  1.6115E-05     *
13  3  5  7  2  3    36.749477  1.9914E-05     *
13  1  1  7  0  1    36.893467  3.0410E-06      
13  0  1  7  1  1    36.893467  1.4623E-06      
13  2  3  7  1  1    36.921738  8.9529E-06      
13  1  3  7  0  1    36.921738  6.0820E-06      
13  6 13  6  5 11    55.270195  2.4825E-05     *
13  6 11  6  5  9    55.287598  2.0956E-05     *
13  5 11  6  4  9    55.287598  4.8902E-05     *
13  2  5  6  3  7    55.306488  1.7681E-06      
13  4  7  6  3  7    55.311100  1.5410E-06      
13  5  9  6  4  7    55.313862  3.9846E-05     *
13  4  9  6  3  7    55.313862  5.3935E-05     *
13  2  3  6  3  5    55.344170  1.2377E-06      
13  1  3  6  2  5    55.344170  2.7780E-06      
13  3  5  6  2  5    55.353432  2.1103E-06      
13  4  7  6  3  5    55.358044  4.1607E-05     *
13  3  7  6  2  5    55.358044  4.2206E-05     *
13  1  1  6  2  3    55.410248  1.5433E-06      
13  0  1  6  1  3    55.410248  3.7661E-06      
13  2  3  6  1  3    55.438515  2.6925E-06      
13  3  5  6  2  3    55.447781  2.9544E-05     *
13  2  5  6  1  3    55.447781  2.4232E-05     *
13  0  1  6  1  1    55.698719  1.8831E-06      
13  1  1  6  0  1    55.698719  4.4654E-06      
13  2  3  6  1  1    55.726986  1.3462E-05     *
13  1  3  6  0  1    55.726986  8.9307E-06      
13  5 11  5  4  9    86.184982  4.3254E-05     *
13  2  5  5  3  7    86.224327  1.5753E-06      
13  4  7  5  3  7    86.228935  2.0888E-06      
13  4  9  5  3  7    86.231705  7.3110E-05     *
13  5  9  5  4  7    86.231705  3.5244E-05     *
13  1  3  5  2  5    86.296173  3.1954E-06      
13  2  3  5  3  5    86.296173  1.1027E-06      
13  3  5  5  2  5    86.305443  3.3126E-06      
13  3  7  5  2  5    86.310051  6.6252E-05     *
13  4  7  5  3  5    86.310051  5.6399E-05     *
13  1  1  5  2  3    86.430946  1.7752E-06      
13  0  1  5  1  3    86.430946  5.0649E-06      
13  2  3  5  1  3    86.459213  4.3837E-06      
13  3  5  5  2  3    86.468483  4.6376E-05     *
13  2  5  5  1  3    86.468483  3.9453E-05     *
13  0  1  5  1  1    86.929886  2.5324E-06      
13  1  1  5  0  1    86.929886  7.1042E-06      
13  1  3  5  0  1    86.958153  1.4208E-05     *
13  2  3  5  1  1    86.958153  2.1919E-05     *
